"margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff"
53,11,4,0,3,5,1,14,9.59999999999999,2,-2,9,-11,18,3,25,18,638,-6,-9,-1,24,-4,13,17
9,5,-3,-4,3,-2,5,-22,-4.59999999999999,-3,3,0,-6,6,6,-16,-38,1,11,-4,6,-8,-6,-28,3
12,1,3,1,15,-1,36,13,-7.50000000000001,-8,8,2,-10,-9,-5,23,0,-61,-7,13,12,-6,5,-15,-2
13,-1,3,10,-1,15,0,7,5.3,-3,3,3,-9,-4,0,16,23,103,12,7,-4,-5,1,1,-5
41,4,2,23,-8,5,6,-3,3,7,-7,8,25,4,-2,-28,-39,758,-9,4,-10,6,2,-17,2
33,-1,4,-4,10,4,19,42,0,2,-2,2,10,3,12,32,23,207,-7,2,6,49,-11,22,-6
9,2,-3,-12,10,-11,26,91,-2.8,-12,12,-3,63,17,11,28,6,150,4,-16,13,28,-12,67,-1
21,-1,15,-7,18,5,43,80,4,-11,11,3,50,31,4,30,3,692,2,-26,3,44,-4,52,7
24,-2,8,-7,9,-2,-7,-19,-3,3,-3,1,-42,6,4,23,8,147,-3,-2,1,22,-5,-18,11
22,-2,4,3,11,-2,4,35,4.89999999999999,-2,2,5,5,-9,-9,30,16,651,10,15,7,10,9,31,-8
57,-4,-1,-1,-4,4,4,-2,0.299999999999997,6,-6,7,-19,28,12,17,13,876,0,-19,-3,53,-12,-4,-2
16,3,2,-2,-2,0,15,96,6.8,-1,1,3,53,4,3,43,20,144,-10,-2,-4,2,-3,82,4
